city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Not Applicable,Not Applicable,1,10
city_116,0.743,Unknown,Has relevent experience,no_enrollment,,,0,50-99,Pvt Ltd,never,12
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,43
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,18
city_165,0.903,Unknown,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,>4,8
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,8
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,145
city_21,0.624,Unknown,No relevent experience,Full time course,Masters,STEM,<1,10/49,Pvt Ltd,1,22
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,9
city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,13,Not Applicable,Public Sector,1,20
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,20
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,4,130
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,3
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,1,Not Applicable,Not Applicable,1,23
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,49
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,1,270
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,23
city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,3,10/49,Pvt Ltd,1,35
city_90,0.698,Male,No relevent experience,Full time course,High School,,2,Not Applicable,Not Applicable,never,87
city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,37
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,158
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8
city_149,0.6890000000000001,Unknown,No relevent experience,no_enrollment,,,2,Not Applicable,Not Applicable,,114
city_105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,100-500,Pvt Ltd,1,15
city_103,0.92,Unknown,No relevent experience,Full time course,High School,,1,Not Applicable,Not Applicable,1,48
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,40
city_76,0.698,Male,Has relevent experience,no_enrollment,,,7,100-500,Pvt Ltd,>4,91
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,14
city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5,Not Applicable,Not Applicable,1,132
city_97,0.925,Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,1,31
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,8
city_28,0.939,Unknown,Has relevent experience,no_enrollment,Masters,STEM,19,Not Applicable,Not Applicable,2,72
city_13,0.8270000000000001,Unknown,Has relevent experience,,Graduate,STEM,5,<10,Pvt Ltd,2,74
city_64,0.6659999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,43
city_31,0.807,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Not Applicable,Not Applicable,>4,134
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,5,<10,Early Stage Startup,never,18
city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,Not Applicable,Public Sector,1,124
city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Not Applicable,Not Applicable,3,80
city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Not Applicable,Not Applicable,never,9
city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,1,188
city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,2,182
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,4,282
city_103,0.92,Unknown,No relevent experience,Full time course,High School,,1,Not Applicable,Not Applicable,never,84
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Early Stage Startup,1,59
city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,1,116
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,>4,34
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,2,64
city_103,0.92,Male,Has relevent experience,,High School,,9,Not Applicable,Not Applicable,2,19
city_100,0.887,Male,No relevent experience,Full time course,Graduate,Other,15,Not Applicable,Not Applicable,3,77
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,56
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,Not Applicable,Not Applicable,1,73
city_67,0.855,Unknown,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,>4,30
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,66
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,10
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,100
city_75,0.939,Male,Has relevent experience,no_enrollment,,,19,10/49,Pvt Ltd,>4,32
city_13,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,4,29
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,3,8
city_127,0.745,Unknown,No relevent experience,Full time course,High School,,1,Not Applicable,Not Applicable,never,77
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,28
city_19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,19,1000-4999,Not Applicable,4,99
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,41
city_101,0.5579999999999999,Male,Has relevent experience,Part time course,Masters,STEM,3,Not Applicable,Not Applicable,2,258
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,144
city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,3,328
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,Not Applicable,Not Applicable,1,47
city_21,0.624,Male,No relevent experience,Full time course,High School,,3,<10,Early Stage Startup,2,36
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,NGO,1,30
city_103,0.92,Unknown,Has relevent experience,Part time course,Masters,STEM,16,10000+,Pvt Ltd,>4,36
city_103,0.92,Unknown,No relevent experience,no_enrollment,High School,,3,Not Applicable,Not Applicable,>4,41
city_139,0.487,Male,No relevent experience,Full time course,Graduate,STEM,1,10/49,Pvt Ltd,never,64
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16,50-99,Pvt Ltd,1,55
city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,2,12
city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,4
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,23
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,32
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,1,10
city_71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,<1,Not Applicable,Not Applicable,>4,18
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Not Applicable,1,43
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,5
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,8
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,34
city_160,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,6,Not Applicable,Not Applicable,1,58
city_103,0.92,Unknown,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Other,never,48
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,>4,58
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,7
city_143,0.74,Unknown,No relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Public Sector,>4,84
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,7,Not Applicable,Not Applicable,1,12
city_103,0.92,Male,No relevent experience,no_enrollment,High School,,1,Not Applicable,Not Applicable,never,22
city_99,0.915,Unknown,No relevent experience,Full time course,High School,,6,Not Applicable,Pvt Ltd,never,44
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42
city_61,0.913,Male,Has relevent experience,no_enrollment,High School,,3,100-500,Pvt Ltd,1,48
city_71,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,2,1000-4999,Pvt Ltd,1,196
city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,2,80
city_103,0.92,Unknown,No relevent experience,no_enrollment,,,0,Not Applicable,Not Applicable,,99
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,1,48
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,95
city_16,0.91,Female,No relevent experience,no_enrollment,Phd,STEM,19,1000-4999,NGO,1,64
city_21,0.624,Unknown,Has relevent experience,Full time course,Masters,No Major,<1,<10,Early Stage Startup,,17
city_16,0.91,Unknown,No relevent experience,no_enrollment,High School,,<1,Not Applicable,Not Applicable,1,64
city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,54
city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,12
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,19
city_69,0.856,Female,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,145
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,No Major,11,100-500,Pvt Ltd,>4,50
city_64,0.6659999999999999,Unknown,Has relevent experience,no_enrollment,High School,,2,Not Applicable,Not Applicable,never,135
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,<1,Not Applicable,Not Applicable,1,3
city_16,0.91,Male,No relevent experience,no_enrollment,Phd,Humanities,>20,Not Applicable,Not Applicable,>4,27
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,<1,Not Applicable,Not Applicable,1,24
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Funded Startup,1,120
city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,15,Not Applicable,Not Applicable,1,61
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Not Applicable,Not Applicable,1,23
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,4
city_114,0.926,Unknown,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,139
city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,34
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,Not Applicable,Pvt Ltd,4,21
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,10
city_134,0.698,Unknown,Has relevent experience,Part time course,Masters,STEM,>20,Not Applicable,Not Applicable,>4,15
city_44,0.725,Unknown,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,Not Applicable,,42
city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,>4,154
city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,Not Applicable,Not Applicable,never,8
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,84
city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,16,Not Applicable,Not Applicable,never,96
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,4,56
city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,High School,,6,100-500,Pvt Ltd,1,270
city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,Not Applicable,Not Applicable,1,76
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Funded Startup,1,48
city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,Pvt Ltd,2,9
city_83,0.923,Unknown,No relevent experience,no_enrollment,Graduate,STEM,3,10/49,Public Sector,never,27
city_165,0.903,Unknown,No relevent experience,no_enrollment,Graduate,STEM,13,Not Applicable,Not Applicable,3,40
city_150,0.698,Male,No relevent experience,Full time course,High School,,1,Not Applicable,Not Applicable,never,72
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,66
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,22
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Funded Startup,3,156
city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,5,10000+,Pvt Ltd,>4,95
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,35
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,1,102
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Not Applicable,>4,51
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,88
city_74,0.579,Male,Has relevent experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,1,13
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,>4,20
city_114,0.926,Unknown,No relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,91
city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,4,34
city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Public Sector,1,20
city_176,0.764,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,77
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,>4,101
city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,1,178
city_155,0.556,Male,No relevent experience,Full time course,Graduate,STEM,2,Not Applicable,Not Applicable,,29
city_155,0.556,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Not Applicable,3,200
city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,15
city_21,0.624,Male,No relevent experience,Full time course,High School,,2,Not Applicable,Not Applicable,never,72
city_167,0.921,Male,Has relevent experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,8
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,76
city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Not Applicable,Not Applicable,1,9
city_73,0.754,Unknown,Has relevent experience,Part time course,Graduate,STEM,6,10/49,Pvt Ltd,3,68
city_114,0.926,Male,No relevent experience,no_enrollment,High School,,5,Not Applicable,Pvt Ltd,never,70
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,51
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,No Major,3,Not Applicable,Not Applicable,never,4
city_114,0.926,Unknown,No relevent experience,no_enrollment,High School,,11,100-500,Pvt Ltd,>4,16
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,9
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,24
city_149,0.6890000000000001,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,9,Not Applicable,Not Applicable,2,152
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,3,72
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,Not Applicable,Not Applicable,3,88
city_28,0.939,Male,Has relevent experience,,Graduate,No Major,8,10/49,Pvt Ltd,2,138
city_160,0.92,Male,No relevent experience,Full time course,High School,,2,Not Applicable,Not Applicable,1,48
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,never,128
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,Not Applicable,Not Applicable,1,59
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,1,138
city_21,0.624,Unknown,No relevent experience,Part time course,,,1,Not Applicable,Not Applicable,never,204
city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Not Applicable,1,125
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Public Sector,2,7
city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,,0,500-999,Not Applicable,1,53
city_21,0.624,Unknown,No relevent experience,Full time course,High School,,2,Not Applicable,Pvt Ltd,never,12
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,52
city_114,0.926,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,Not Applicable,Not Applicable,never,24
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,67
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,118
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Not Applicable,Not Applicable,2,29
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,18
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,Not Applicable,Not Applicable,never,9
city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,14,<10,Early Stage Startup,1,7
city_21,0.624,Male,Has relevent experience,no_enrollment,High School,,10,Not Applicable,Not Applicable,never,73
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,2,65
city_30,0.698,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,,67
city_97,0.925,Unknown,Has relevent experience,no_enrollment,High School,,8,Not Applicable,Not Applicable,1,33
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,<10,Early Stage Startup,1,56
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,18
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,>4,272
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,2,29
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,never,100
city_160,0.92,Male,Has relevent experience,no_enrollment,,,>20,<10,Pvt Ltd,2,26
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13
city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56
city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,,23
city_160,0.92,Unknown,No relevent experience,Part time course,Graduate,STEM,>20,Not Applicable,Not Applicable,,16
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,200
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,1,28
city_89,0.925,Female,Has relevent experience,no_enrollment,Graduate,Humanities,3,<10,Pvt Ltd,2,12
city_57,0.866,Unknown,No relevent experience,no_enrollment,Masters,STEM,12,Not Applicable,Pvt Ltd,never,26
city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,174
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Primary School,,7,100-500,Pvt Ltd,1,39
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,4,71
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,never,114
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Not Applicable,Not Applicable,2,12
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,2,56
city_149,0.6890000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,2,46
city_16,0.91,Male,Has relevent experience,Full time course,Masters,STEM,7,Not Applicable,Not Applicable,1,24
city_41,0.8270000000000001,Unknown,Has relevent experience,Full time course,High School,,4,100-500,Pvt Ltd,2,152
city_69,0.856,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,20
city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,never,202
city_114,0.926,Male,Has relevent experience,no_enrollment,,,2,Not Applicable,Not Applicable,never,10
city_150,0.698,Male,Has relevent experience,Part time course,High School,,2,50-99,NGO,2,78
city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,never,60
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10/49,Pvt Ltd,3,20
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,6,Not Applicable,Not Applicable,2,82
city_76,0.698,Other,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,3,194
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,248
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,1,68
city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,>4,36
city_165,0.903,Male,Has relevent experience,no_enrollment,Phd,STEM,14,100-500,Pvt Ltd,>4,61
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,2,66
city_162,0.767,Unknown,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,1,119
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Funded Startup,1,78
city_36,0.893,Unknown,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,47
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,>4,174
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,19,10/49,Pvt Ltd,>4,85
city_74,0.579,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,86
