index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datetime
210,50,blue-collar,married,primary,no,0,no,no,cellular,11,aug,72,5,-1,0,unknown,no,8
214,35,blue-collar,married,secondary,no,0,yes,no,cellular,9,jul,277,1,-1,0,unknown,no,7
215,35,blue-collar,married,secondary,no,0,yes,no,cellular,17,apr,203,1,-1,0,unknown,no,4
240,31,management,single,tertiary,no,0,yes,no,cellular,30,apr,97,2,87,2,other,no,4
241,31,management,single,tertiary,no,0,yes,no,cellular,7,may,45,1,22,2,failure,no,5
258,44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no,5
259,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no,5
261,35,services,married,secondary,no,0,yes,no,unknown,21,may,190,5,-1,0,unknown,no,5
264,35,services,married,secondary,no,0,yes,no,cellular,30,jul,251,3,-1,0,unknown,no,7
267,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no,5
268,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no,5
270,39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no,5
275,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no,5
277,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no,5
278,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no,5
280,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no,5
281,39,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,5
285,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no,5
288,48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no,5
298,45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no,5
303,37,blue-collar,married,primary,no,0,yes,no,cellular,17,apr,362,2,315,4,failure,no,4
315,42,management,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no,5
317,22,blue-collar,single,secondary,no,0,yes,no,unknown,19,may,123,1,-1,0,unknown,no,5
319,40,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no,5
320,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no,5
322,49,admin.,married,secondary,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no,5
326,34,services,single,secondary,no,0,yes,no,cellular,6,may,307,2,-1,0,unknown,no,5
328,50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no,5
329,39,blue-collar,married,primary,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no,5
340,30,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no,5
344,41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no,5
348,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,5
352,37,admin.,married,secondary,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no,5
353,59,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no,5
354,39,services,divorced,secondary,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no,5
367,47,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no,5
368,50,technician,single,tertiary,no,339,yes,no,unknown,5,may,2,3,-1,0,unknown,no,5
375,54,management,married,tertiary,no,0,no,no,cellular,16,jul,118,5,-1,0,unknown,no,7
376,54,management,married,tertiary,no,0,no,no,cellular,5,aug,214,3,-1,0,unknown,no,8
377,54,management,married,tertiary,no,0,no,no,cellular,14,aug,260,7,-1,0,unknown,no,8
388,51,admin.,married,secondary,no,531,yes,no,unknown,5,may,267,2,-1,0,unknown,no,5
390,36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no,5
396,43,management,married,unknown,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no,5
402,46,admin.,married,secondary,no,-358,yes,no,unknown,5,may,358,2,-1,0,unknown,no,5
407,51,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,173,2,-1,0,unknown,no,5
415,47,technician,married,tertiary,no,831,yes,no,unknown,5,may,316,3,-1,0,unknown,no,5
425,42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no,5
428,32,services,single,secondary,no,121,yes,no,unknown,5,may,213,2,-1,0,unknown,no,5
432,50,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,325,2,-1,0,unknown,no,5
433,34,management,married,tertiary,no,46,yes,no,unknown,5,may,39,4,-1,0,unknown,no,5
435,45,technician,married,secondary,no,44,yes,no,unknown,5,may,95,4,-1,0,unknown,no,5
441,45,blue-collar,married,secondary,no,66,yes,no,unknown,13,may,3366,3,-1,0,unknown,no,5
446,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,jul,72,1,-1,0,unknown,no,7
452,36,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,332,1,-1,0,unknown,no,5
457,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,347,3,-1,0,unknown,no,5
462,46,admin.,single,tertiary,no,377,yes,no,unknown,5,may,98,2,-1,0,unknown,no,5
467,59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown,no,5
485,33,management,married,tertiary,no,0,yes,no,unknown,2,jun,223,1,-1,0,unknown,no,6
489,33,management,married,tertiary,no,0,yes,no,cellular,19,nov,295,1,170,1,failure,no,11
490,33,management,married,tertiary,no,0,yes,no,cellular,7,apr,366,1,-1,0,unknown,no,4
491,33,management,married,tertiary,no,0,yes,no,cellular,14,apr,535,3,328,1,failure,yes,4
494,33,management,married,tertiary,no,0,yes,no,cellular,5,may,301,1,365,1,failure,no,5
503,58,services,married,secondary,no,1667,yes,yes,unknown,6,may,85,1,-1,0,unknown,no,5
513,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,no,5
514,32,technician,single,secondary,no,0,yes,yes,unknown,26,may,916,2,-1,0,unknown,no,5
521,29,self-employed,single,tertiary,no,16,yes,no,unknown,6,may,43,1,-1,0,unknown,no,5
527,50,management,married,tertiary,no,0,no,no,unknown,20,jun,26,4,-1,0,unknown,no,6
531,50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no,8
541,51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure,no,11
545,34,admin.,divorced,secondary,no,67,yes,no,unknown,6,may,90,1,-1,0,unknown,no,5
548,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,37,2,-1,0,unknown,no,5
549,52,blue-collar,divorced,primary,no,55,yes,yes,unknown,6,may,186,1,-1,0,unknown,no,5
554,39,admin.,single,secondary,no,113,yes,no,unknown,6,may,342,1,-1,0,unknown,no,5
558,40,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,113,1,-1,0,unknown,no,11
564,38,technician,single,tertiary,no,4325,yes,no,unknown,6,may,87,1,-1,0,unknown,no,5
567,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown,no,5
568,39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,no,5
575,39,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,502,1,7,2,failure,no,5
579,55,admin.,married,secondary,no,183,yes,no,unknown,6,may,150,1,-1,0,unknown,no,5
581,35,management,single,tertiary,no,560,yes,no,unknown,6,may,181,1,-1,0,unknown,no,5
584,49,services,married,primary,no,61,yes,no,unknown,6,may,246,1,-1,0,unknown,no,5
592,32,services,single,secondary,no,310,yes,no,unknown,6,may,144,1,-1,0,unknown,no,5
597,37,management,married,tertiary,no,231,yes,yes,unknown,6,may,451,2,-1,0,unknown,no,5
601,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,5
603,35,blue-collar,married,secondary,no,89,yes,no,unknown,6,may,145,2,-1,0,unknown,no,5
609,39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,-1,0,unknown,no,5
611,57,retired,single,secondary,no,1640,no,yes,unknown,6,may,204,4,-1,0,unknown,no,5
618,46,blue-collar,married,unknown,no,1044,yes,no,unknown,6,may,43,1,-1,0,unknown,no,5
633,59,management,divorced,tertiary,no,-76,yes,yes,unknown,6,may,264,1,-1,0,unknown,no,5
635,40,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,288,1,-1,0,unknown,no,5
639,32,technician,married,secondary,no,0,yes,no,cellular,8,may,77,2,-1,0,unknown,no,5
661,44,blue-collar,married,secondary,no,-99,yes,no,unknown,6,may,111,2,-1,0,unknown,no,5
664,32,technician,single,unknown,no,-170,no,no,unknown,6,may,46,1,-1,0,unknown,no,5
671,57,retired,divorced,secondary,no,-331,yes,no,unknown,6,may,531,1,-1,0,unknown,no,5
675,58,retired,married,secondary,no,5435,yes,no,unknown,6,may,118,1,-1,0,unknown,no,5
676,34,admin.,married,secondary,no,507,yes,no,unknown,6,may,190,1,-1,0,unknown,no,5
682,44,blue-collar,married,primary,no,148,yes,no,unknown,6,may,211,1,-1,0,unknown,no,5
684,34,blue-collar,single,tertiary,no,1011,yes,no,unknown,6,may,136,1,-1,0,unknown,no,5
708,45,blue-collar,divorced,secondary,no,756,yes,no,unknown,6,may,179,2,-1,0,unknown,no,5
722,36,admin.,married,secondary,no,639,yes,no,unknown,6,may,191,1,-1,0,unknown,no,5
724,45,blue-collar,married,secondary,no,82,yes,no,unknown,6,may,250,1,-1,0,unknown,no,5
725,36,self-employed,married,tertiary,no,107,yes,no,unknown,6,may,146,1,-1,0,unknown,no,5
732,36,admin.,married,secondary,no,-106,yes,no,unknown,6,may,130,2,-1,0,unknown,no,5
733,39,services,divorced,primary,no,471,yes,no,unknown,6,may,161,2,-1,0,unknown,no,5
741,47,technician,married,secondary,no,83,yes,no,unknown,6,may,179,2,-1,0,unknown,no,5
743,57,blue-collar,married,primary,no,5431,yes,yes,unknown,6,may,383,1,-1,0,unknown,no,5
759,56,technician,divorced,secondary,no,99,yes,no,unknown,6,may,155,2,-1,0,unknown,no,5
763,35,blue-collar,married,primary,no,0,yes,no,unknown,6,may,154,2,-1,0,unknown,no,5
771,37,blue-collar,married,primary,no,-325,yes,yes,unknown,6,may,112,2,-1,0,unknown,no,5
774,38,technician,married,secondary,no,581,yes,no,cellular,2,feb,223,2,272,1,failure,no,2
775,41,admin.,divorced,primary,no,4070,yes,no,unknown,6,may,140,2,-1,0,unknown,no,5
776,48,retired,married,secondary,no,74,no,yes,unknown,6,may,315,1,-1,0,unknown,no,5
779,54,services,married,secondary,yes,0,yes,no,unknown,6,may,138,3,-1,0,unknown,no,5
782,31,self-employed,married,secondary,no,0,yes,no,unknown,6,may,36,5,-1,0,unknown,no,5
796,48,management,divorced,tertiary,no,1328,yes,no,unknown,6,may,339,1,-1,0,unknown,no,5
806,33,technician,divorced,secondary,no,7,yes,yes,unknown,6,may,87,1,-1,0,unknown,no,5
811,35,unemployed,married,secondary,no,533,yes,no,unknown,6,may,802,1,-1,0,unknown,no,5
816,32,admin.,single,tertiary,no,395,yes,no,unknown,6,may,241,3,-1,0,unknown,no,5
825,55,management,single,secondary,no,220,yes,no,unknown,6,may,328,2,-1,0,unknown,no,5
826,33,blue-collar,married,primary,no,332,yes,no,unknown,6,may,116,2,-1,0,unknown,no,5
828,42,technician,single,secondary,no,0,yes,no,unknown,6,may,293,1,-1,0,unknown,no,5
832,38,entrepreneur,married,tertiary,no,898,yes,no,unknown,6,may,132,2,-1,0,unknown,no,5
837,41,technician,married,secondary,no,-366,yes,yes,unknown,6,may,29,3,-1,0,unknown,no,5
838,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,no,5
841,44,self-employed,divorced,tertiary,no,4,yes,no,unknown,6,may,312,3,-1,0,unknown,no,5
843,28,technician,single,secondary,no,312,yes,no,unknown,6,may,392,1,-1,0,unknown,no,5
851,33,admin.,single,secondary,no,101,yes,no,unknown,6,may,392,1,-1,0,unknown,no,5
855,41,blue-collar,married,secondary,no,140,yes,no,cellular,29,jan,636,2,-1,0,unknown,no,1
856,41,blue-collar,married,secondary,no,140,yes,no,cellular,3,jun,96,1,125,2,failure,no,6
860,47,services,divorced,secondary,no,201,yes,no,unknown,6,may,92,2,-1,0,unknown,no,5
861,46,blue-collar,married,primary,no,530,yes,no,unknown,6,may,739,3,-1,0,unknown,no,5
864,31,blue-collar,single,secondary,no,0,yes,no,cellular,7,may,113,2,345,1,other,no,5
865,49,self-employed,married,secondary,no,1,yes,no,unknown,6,may,260,3,-1,0,unknown,no,5
870,35,technician,married,secondary,no,-131,yes,no,unknown,6,may,467,2,-1,0,unknown,no,5
873,41,admin.,married,secondary,no,0,yes,no,unknown,6,may,160,3,-1,0,unknown,no,5
874,41,admin.,married,secondary,no,0,yes,no,unknown,9,jun,65,3,-1,0,unknown,no,6
881,42,management,married,tertiary,no,0,yes,no,unknown,20,jun,34,3,-1,0,unknown,no,6
883,42,management,married,tertiary,no,0,yes,no,cellular,15,jul,133,4,-1,0,unknown,no,7
889,49,management,married,tertiary,no,92,yes,no,unknown,6,may,221,2,-1,0,unknown,no,5
892,36,blue-collar,married,primary,no,23,yes,no,unknown,6,may,400,2,-1,0,unknown,no,5
897,44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,no,11
898,40,admin.,married,secondary,no,6,yes,no,unknown,6,may,60,3,-1,0,unknown,no,5
899,49,blue-collar,married,secondary,no,26,yes,no,unknown,6,may,276,2,-1,0,unknown,no,5
900,30,technician,single,unknown,no,-48,yes,no,unknown,6,may,152,2,-1,0,unknown,no,5
901,57,management,married,tertiary,no,2142,yes,no,unknown,6,may,251,3,-1,0,unknown,no,5
902,24,services,single,secondary,no,77,yes,yes,unknown,6,may,390,2,-1,0,unknown,no,5
906,43,admin.,single,secondary,no,-497,yes,no,unknown,6,may,234,2,-1,0,unknown,no,5
912,31,admin.,married,secondary,no,0,yes,yes,unknown,6,may,144,2,-1,0,unknown,no,5
914,40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,-1,0,unknown,no,5
918,56,retired,divorced,primary,no,4,yes,no,unknown,6,may,31,3,-1,0,unknown,no,5
931,42,services,divorced,secondary,no,55,yes,no,unknown,6,may,176,5,-1,0,unknown,no,5
937,37,blue-collar,married,secondary,no,183,yes,no,unknown,6,may,112,4,-1,0,unknown,no,5
940,35,blue-collar,single,secondary,no,376,yes,yes,unknown,6,may,207,3,-1,0,unknown,no,5
941,40,blue-collar,married,primary,no,-7,yes,no,unknown,6,may,410,2,-1,0,unknown,no,5
943,55,technician,married,secondary,no,0,no,no,cellular,29,jul,316,2,-1,0,unknown,no,7
946,55,retired,married,secondary,no,143,yes,no,unknown,6,may,42,3,-1,0,unknown,no,5
954,56,self-employed,married,unknown,no,7,no,no,unknown,6,may,305,2,-1,0,unknown,no,5
968,37,technician,married,secondary,no,-421,yes,no,unknown,6,may,183,5,-1,0,unknown,no,5
976,46,technician,married,secondary,yes,289,no,no,unknown,7,may,51,3,-1,0,unknown,no,5
977,29,student,single,secondary,no,110,yes,no,unknown,7,may,169,3,-1,0,unknown,no,5
978,39,blue-collar,married,primary,no,245,yes,no,unknown,7,may,148,3,-1,0,unknown,no,5
980,42,services,married,secondary,no,0,yes,no,cellular,9,jul,431,1,-1,0,unknown,no,7
990,45,management,married,tertiary,no,103,yes,no,unknown,7,may,35,4,-1,0,unknown,no,5
998,38,technician,single,secondary,no,42,yes,no,unknown,7,may,195,2,-1,0,unknown,no,5
1000,42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,unknown,no,5
1001,32,technician,divorced,secondary,no,210,yes,yes,unknown,7,may,188,2,-1,0,unknown,no,5
1005,46,management,married,tertiary,no,0,no,no,cellular,27,aug,121,2,-1,0,unknown,no,8
1006,46,management,married,tertiary,no,0,no,no,cellular,18,nov,716,2,110,3,other,yes,11
1010,29,student,single,tertiary,no,185,yes,no,unknown,7,may,141,3,-1,0,unknown,no,5
1022,56,retired,married,secondary,no,0,yes,no,unknown,7,may,333,4,-1,0,unknown,no,5
1031,35,blue-collar,married,primary,yes,0,yes,no,unknown,7,may,292,1,-1,0,unknown,no,5
1034,56,retired,single,primary,no,223,yes,no,unknown,7,may,97,1,-1,0,unknown,no,5
1042,45,blue-collar,married,primary,no,97,yes,no,unknown,7,may,923,3,-1,0,unknown,no,5
1048,30,technician,single,tertiary,no,3,yes,no,cellular,6,may,45,2,169,2,failure,no,5
1054,36,services,divorced,secondary,no,-290,yes,yes,unknown,7,may,128,1,-1,0,unknown,no,5
1057,55,retired,married,secondary,no,102,yes,no,unknown,7,may,74,1,-1,0,unknown,no,5
1059,34,management,single,tertiary,no,872,yes,no,cellular,17,apr,81,1,345,2,failure,no,4
1060,40,management,divorced,tertiary,no,490,yes,no,unknown,7,may,477,2,-1,0,unknown,no,5
1062,37,blue-collar,married,secondary,no,16,yes,no,unknown,7,may,250,1,-1,0,unknown,no,5
1066,30,services,single,secondary,no,-174,yes,no,unknown,7,may,113,1,-1,0,unknown,no,5
1070,49,blue-collar,married,secondary,no,64,yes,no,unknown,7,may,293,3,-1,0,unknown,no,5
1071,31,blue-collar,single,secondary,no,1415,yes,no,unknown,7,may,485,1,-1,0,unknown,no,5
1074,37,services,single,secondary,no,-196,yes,no,unknown,7,may,207,1,-1,0,unknown,no,5
1076,37,management,married,tertiary,no,0,yes,no,unknown,7,may,228,1,-1,0,unknown,no,5
1077,37,management,married,tertiary,no,0,yes,no,unknown,9,may,59,1,-1,0,unknown,no,5
1081,37,management,married,tertiary,no,0,yes,no,telephone,28,jul,62,8,-1,0,unknown,no,7
1082,37,management,married,tertiary,no,0,yes,no,cellular,21,nov,227,1,-1,0,unknown,no,11
1086,37,management,married,tertiary,no,0,yes,no,cellular,6,may,149,1,13,12,success,no,5
1087,37,management,married,tertiary,no,0,yes,no,cellular,6,may,84,2,169,3,failure,no,5
1088,37,management,married,tertiary,no,0,yes,no,cellular,11,may,148,2,-1,0,unknown,no,5
1094,54,management,married,tertiary,yes,-248,yes,yes,unknown,7,may,112,1,-1,0,unknown,no,5
1096,43,blue-collar,divorced,secondary,no,370,yes,no,unknown,7,may,216,1,-1,0,unknown,no,5
1097,47,admin.,single,secondary,no,594,yes,no,unknown,7,may,161,1,-1,0,unknown,no,5
1098,47,blue-collar,married,secondary,no,387,yes,no,unknown,7,may,122,2,-1,0,unknown,no,5
1099,38,services,married,secondary,no,208,yes,no,unknown,7,may,800,1,-1,0,unknown,no,5
1105,40,management,single,tertiary,no,1265,yes,no,unknown,7,may,97,1,-1,0,unknown,no,5
1109,26,blue-collar,single,secondary,no,24,yes,no,unknown,7,may,180,1,-1,0,unknown,no,5
1134,40,blue-collar,married,secondary,no,306,yes,no,unknown,7,may,184,2,-1,0,unknown,no,5
1135,32,management,married,tertiary,no,233,yes,no,unknown,7,may,193,1,-1,0,unknown,no,5
1138,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown,yes,5
1152,35,management,married,tertiary,no,267,yes,no,unknown,7,may,192,1,-1,0,unknown,no,5
1158,51,blue-collar,married,unknown,no,37,yes,no,unknown,7,may,256,6,-1,0,unknown,no,5
1162,34,admin.,divorced,secondary,no,627,yes,no,unknown,7,may,283,2,-1,0,unknown,no,5
1166,28,blue-collar,single,secondary,no,97,yes,no,unknown,7,may,67,1,-1,0,unknown,no,5
1170,44,admin.,married,secondary,no,58544,yes,no,unknown,7,may,144,2,-1,0,unknown,no,5
1187,39,blue-collar,married,primary,no,20,yes,no,unknown,7,may,109,1,-1,0,unknown,no,5
1192,26,services,married,secondary,no,0,yes,no,cellular,18,may,130,4,-1,0,unknown,no,5
1194,47,blue-collar,married,secondary,yes,-5,yes,no,unknown,7,may,444,1,-1,0,unknown,no,5
1196,53,blue-collar,single,secondary,no,156,yes,yes,unknown,7,may,259,4,-1,0,unknown,no,5
1197,31,services,married,secondary,no,564,yes,no,unknown,7,may,223,3,-1,0,unknown,no,5
1198,33,admin.,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,no,5
1201,31,management,married,secondary,no,2019,no,no,unknown,7,may,380,2,-1,0,unknown,no,5
1205,33,blue-collar,married,primary,no,198,yes,no,unknown,7,may,121,2,-1,0,unknown,no,5
1206,37,management,married,tertiary,no,115,no,no,unknown,7,may,36,1,-1,0,unknown,no,5
1212,38,services,married,secondary,no,-32,yes,no,unknown,7,may,154,2,-1,0,unknown,no,5
1214,36,technician,married,tertiary,no,301,yes,no,unknown,7,may,1581,2,-1,0,unknown,no,5
1218,46,blue-collar,married,primary,no,143,yes,no,unknown,7,may,279,1,-1,0,unknown,no,5
1223,30,services,single,secondary,no,21,yes,no,unknown,7,may,104,2,-1,0,unknown,no,5
1227,33,technician,married,secondary,no,0,yes,no,cellular,9,feb,176,2,262,2,failure,no,2
1233,60,retired,married,secondary,no,42,yes,yes,unknown,7,may,386,2,-1,0,unknown,no,5
1234,33,management,single,tertiary,no,54,no,no,unknown,7,may,262,2,-1,0,unknown,no,5
1238,30,technician,single,secondary,no,102,yes,no,unknown,7,may,614,2,-1,0,unknown,no,5
1245,38,technician,married,secondary,no,0,no,no,unknown,7,may,55,1,-1,0,unknown,no,5
1257,29,blue-collar,married,secondary,no,313,yes,yes,unknown,7,may,144,1,-1,0,unknown,no,5
1261,49,services,married,secondary,no,1377,yes,no,unknown,7,may,1101,1,-1,0,unknown,no,5
1262,33,technician,single,secondary,no,56,no,no,unknown,7,may,236,2,-1,0,unknown,no,5
1264,47,admin.,married,unknown,no,0,yes,no,cellular,21,nov,85,1,198,1,failure,no,11
1267,44,services,married,primary,no,-79,yes,no,unknown,7,may,179,2,-1,0,unknown,no,5
1270,40,blue-collar,married,unknown,no,-4,yes,no,unknown,7,may,311,1,-1,0,unknown,no,5
1274,35,blue-collar,married,primary,no,624,yes,no,unknown,7,may,163,1,-1,0,unknown,no,5
1275,34,technician,divorced,secondary,no,1107,yes,yes,unknown,7,may,345,1,-1,0,unknown,no,5
1280,37,blue-collar,divorced,primary,no,139,yes,no,unknown,7,may,71,1,-1,0,unknown,no,5
1281,39,admin.,married,secondary,no,367,yes,no,unknown,7,may,106,1,-1,0,unknown,no,5
1292,31,blue-collar,married,primary,no,19,yes,no,unknown,7,may,241,2,-1,0,unknown,no,5
1297,39,blue-collar,married,primary,no,867,yes,no,unknown,7,may,481,1,-1,0,unknown,no,5
1301,29,blue-collar,single,primary,no,365,yes,yes,cellular,5,feb,72,1,274,2,failure,no,2
1302,60,blue-collar,divorced,secondary,no,1310,no,no,unknown,7,may,152,2,-1,0,unknown,no,5
1306,48,admin.,married,secondary,no,359,yes,no,unknown,7,may,374,1,-1,0,unknown,no,5
1308,40,blue-collar,married,secondary,no,4,yes,yes,unknown,7,may,263,1,-1,0,unknown,no,5
1314,52,technician,single,secondary,no,-181,yes,no,unknown,7,may,94,2,-1,0,unknown,no,5
1320,46,blue-collar,married,primary,no,323,yes,no,unknown,7,may,108,6,-1,0,unknown,no,5
1321,44,blue-collar,married,primary,no,-171,yes,no,unknown,7,may,441,2,-1,0,unknown,no,5
1326,58,technician,married,secondary,no,786,yes,no,unknown,7,may,165,3,-1,0,unknown,no,5
1336,42,management,married,secondary,no,0,no,no,cellular,30,jul,458,3,-1,0,unknown,no,7
1345,56,management,married,primary,no,-24,yes,no,unknown,7,may,305,3,-1,0,unknown,no,5
1350,31,blue-collar,married,primary,no,251,yes,no,unknown,7,may,212,2,-1,0,unknown,no,5
1353,44,blue-collar,single,unknown,no,2167,yes,no,unknown,7,may,1273,1,-1,0,unknown,no,5
1355,51,technician,married,secondary,no,221,yes,no,unknown,7,may,139,3,-1,0,unknown,no,5
