index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datetime
43,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,5
44,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,5
45,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,5
46,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,5
47,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,5
48,37,admin.,single,secondary,no,0,yes,no,unknown,29,may,147,4,-1,0,unknown,no,5
49,37,admin.,single,secondary,no,0,yes,no,cellular,16,apr,640,2,-1,0,unknown,no,4
50,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,5
51,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,5
52,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,5
53,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,5
54,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,5
55,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,5
56,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,5
57,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,5
58,44,technician,married,secondary,no,0,yes,no,unknown,30,may,243,3,-1,0,unknown,no,5
59,44,technician,married,secondary,no,0,yes,no,cellular,24,jul,157,1,-1,0,unknown,no,7
60,44,technician,married,secondary,no,0,yes,no,cellular,18,nov,205,1,-1,0,unknown,no,11
61,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,5
62,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,5
63,29,management,single,tertiary,no,0,yes,no,unknown,6,may,211,1,-1,0,unknown,no,5
64,29,management,single,tertiary,no,0,yes,no,unknown,23,may,331,2,-1,0,unknown,no,5
65,29,management,single,tertiary,no,0,yes,no,unknown,28,may,112,7,-1,0,unknown,no,5
66,29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes,5
67,29,management,single,tertiary,no,0,yes,no,cellular,9,jul,150,1,-1,0,unknown,no,7
68,29,management,single,tertiary,no,0,yes,no,cellular,12,may,116,2,-1,0,unknown,no,5
69,29,management,single,tertiary,no,0,yes,no,cellular,13,may,155,1,351,1,failure,no,5
70,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,5
71,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,5
72,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,5
73,32,management,married,tertiary,no,0,yes,no,unknown,16,may,387,1,-1,0,unknown,no,5
74,32,management,married,tertiary,no,0,yes,no,unknown,21,may,91,1,-1,0,unknown,no,5
75,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,5
76,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,5
77,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,5
78,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,5
79,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,5
80,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,5
81,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,5
82,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,5
83,32,admin.,married,tertiary,no,0,yes,no,cellular,21,nov,102,1,-1,0,unknown,no,11
84,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,5
85,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,5
86,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,5
87,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no,5
88,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no,5
89,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no,5
90,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no,5
91,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no,5
92,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no,5
93,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no,5
94,57,blue-collar,married,secondary,no,5935,yes,yes,cellular,19,nov,90,2,198,1,failure,no,11
95,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no,5
96,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no,5
97,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no,5
98,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no,5
99,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no,5
100,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no,5
101,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no,5
102,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no,5
103,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no,5
104,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no,5
105,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no,5
106,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no,5
107,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,5
108,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no,5
109,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no,5
110,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,5
111,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,5
112,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no,5
113,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no,5
114,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no,5
115,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no,5
116,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no,5
117,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no,5
118,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no,5
119,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no,5
120,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no,5
121,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no,5
122,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no,5
123,39,technician,married,secondary,no,0,yes,no,cellular,16,apr,137,1,300,1,failure,no,4
124,39,technician,married,secondary,no,0,yes,no,cellular,23,oct,622,1,184,1,success,no,10
125,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no,5
126,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no,5
127,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no,5
128,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no,5
129,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no,5
130,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no,5
131,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no,5
132,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no,5
133,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no,5
134,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no,5
135,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no,5
136,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no,5
137,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no,5
138,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no,5
139,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no,5
140,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no,5
141,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no,5
142,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no,5
143,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no,5
144,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no,5
145,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no,5
146,57,technician,married,primary,no,0,no,no,unknown,5,jun,58,8,-1,0,unknown,no,6
147,57,technician,married,primary,no,0,no,no,cellular,16,jul,214,1,-1,0,unknown,no,7
148,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no,5
149,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no,5
150,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no,5
151,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,5
152,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no,5
153,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no,5
154,29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no,5
155,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no,5
156,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no,5
157,31,blue-collar,married,secondary,no,0,yes,no,unknown,9,may,133,1,-1,0,unknown,no,5
158,31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,134,1,-1,0,unknown,no,5
159,31,blue-collar,married,secondary,no,0,yes,no,unknown,2,jun,245,1,-1,0,unknown,no,6
160,31,blue-collar,married,secondary,no,0,yes,no,unknown,10,aug,97,1,782,1,other,yes,8
161,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,5
162,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no,5
163,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no,5
164,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no,5
165,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no,5
166,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no,5
167,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no,5
168,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no,5
169,32,technician,single,secondary,no,0,yes,no,cellular,20,aug,322,2,-1,0,unknown,no,8
170,32,technician,single,secondary,no,0,yes,no,cellular,12,may,61,4,-1,0,unknown,no,5
171,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no,5
172,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no,5
173,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no,5
174,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no,5
175,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no,5
176,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no,5
177,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no,5
178,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no,5
179,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no,5
180,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no,5
181,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no,5
182,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no,5
183,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no,5
184,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no,5
185,26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no,5
186,40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no,5
187,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no,5
188,39,management,married,secondary,no,18,yes,no,cellular,22,may,230,1,-1,0,unknown,no,5
189,39,management,married,secondary,no,18,yes,no,cellular,21,aug,102,1,91,1,failure,no,8
190,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no,5
191,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no,5
192,41,services,married,secondary,no,0,yes,no,unknown,11,jun,62,9,-1,0,unknown,no,6
193,41,services,married,secondary,no,0,yes,no,unknown,2,jul,203,1,-1,0,unknown,no,7
194,41,services,married,secondary,no,0,yes,no,cellular,31,jul,40,10,-1,0,unknown,no,7
195,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no,5
196,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no,5
197,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no,5
198,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no,5
199,48,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no,5
200,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no,5
201,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no,5
202,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no,5
203,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no,5
204,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no,5
205,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no,5
206,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no,5
207,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,5
208,50,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no,5
209,50,blue-collar,married,primary,no,0,no,no,unknown,9,jun,199,4,-1,0,unknown,no,6
210,50,blue-collar,married,primary,no,0,no,no,cellular,11,aug,72,5,-1,0,unknown,no,8
211,50,blue-collar,married,primary,no,0,no,no,cellular,21,nov,281,2,191,2,failure,no,11
212,35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no,5
213,35,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,100,4,-1,0,unknown,no,5
214,35,blue-collar,married,secondary,no,0,yes,no,cellular,9,jul,277,1,-1,0,unknown,no,7
215,35,blue-collar,married,secondary,no,0,yes,no,cellular,17,apr,203,1,-1,0,unknown,no,4
216,35,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,19,1,360,2,failure,no,5
217,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no,5
218,53,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no,5
219,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no,5
220,60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no,5
221,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no,5
222,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no,5
223,34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no,5
224,54,services,married,secondary,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no,5
225,51,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no,5
226,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no,5
227,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no,5
228,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no,5
229,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no,5
230,36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no,5
231,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no,5
232,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no,5
233,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no,5
234,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no,5
235,31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no,5
236,31,management,single,tertiary,no,0,yes,no,unknown,9,may,94,3,-1,0,unknown,no,5
237,31,management,single,tertiary,no,0,yes,no,unknown,23,may,391,1,-1,0,unknown,no,5
238,31,management,single,tertiary,no,0,yes,no,cellular,28,jul,117,3,-1,0,unknown,no,7
239,31,management,single,tertiary,no,0,yes,no,cellular,15,apr,185,2,-1,0,unknown,no,4
240,31,management,single,tertiary,no,0,yes,no,cellular,30,apr,97,2,87,2,other,no,4
241,31,management,single,tertiary,no,0,yes,no,cellular,7,may,45,1,22,2,failure,no,5
242,31,management,single,tertiary,no,0,yes,no,cellular,8,sep,76,1,-1,0,unknown,no,9
243,51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no,5
244,33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no,5
245,33,management,married,tertiary,no,377,yes,no,cellular,5,feb,213,2,276,1,failure,no,2
246,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no,5
247,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no,5
248,42,admin.,married,secondary,no,445,yes,no,unknown,7,may,202,2,-1,0,unknown,no,5
249,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no,5
250,34,blue-collar,married,secondary,no,243,yes,no,cellular,18,may,507,1,-1,0,unknown,yes,5
251,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no,5
252,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no,5
253,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no,5
254,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no,5
255,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no,5
256,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no,5
257,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no,5
258,44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no,5
259,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no,5
260,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no,5
261,35,services,married,secondary,no,0,yes,no,unknown,21,may,190,5,-1,0,unknown,no,5
262,35,services,married,secondary,no,0,yes,no,telephone,18,jul,183,9,-1,0,unknown,no,7
263,35,services,married,secondary,no,0,yes,no,cellular,24,jul,810,1,-1,0,unknown,no,7
264,35,services,married,secondary,no,0,yes,no,cellular,30,jul,251,3,-1,0,unknown,no,7
265,35,services,married,secondary,no,0,yes,no,cellular,6,may,343,3,351,1,failure,no,5
266,35,services,married,secondary,no,0,yes,no,cellular,18,may,146,2,-1,0,unknown,no,5
267,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no,5
268,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no,5
269,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no,5
270,39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no,5
271,42,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no,5
272,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no,5
273,53,retired,married,secondary,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no,5
274,59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no,5
275,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no,5
276,54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no,5
277,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no,5
278,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no,5
279,53,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no,5
280,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no,5
281,39,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no,5
282,40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no,5
283,40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no,11
284,28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no,5
285,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no,5
286,55,retired,married,secondary,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no,5
287,43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no,5
